,0
0,Alaska
1,Arkansas
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Hawaii
9,Idaho
10,Illinois
11,Indiana
12,Iowa
13,Kansas
14,Kentucky
15,Louisiana
16,Maine
17,Maryland
18,Massachusetts
19,Minnesota
20,Mississippi
21,Montana
22,Nebraska
23,Nevada
24,New Hampshire
25,New Jersey
26,North Dakota
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Dakota
31,Tennessee
32,Utah
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wisconsin
38,Wyoming
